bone,gender,type,probability,sensitivity,specificity
femur,female,sd,0.7708257,0.723,0.02
femur,female,sd,0.7914621,0.702,0.02
femur,female,sd,0.814493,0.681,0.02
femur,female,sd,0.8262013,0.66,0.02
femur,female,sd,0.8467674,0.638,0.02
femur,female,sd,0.8595563,0.617,0.02
femur,female,sd,0.862071,0.596,0.02
femur,female,sd,0.8645682,0.574,0.02
femur,female,sd,0.8687361,0.553,0.02
femur,female,sd,0.8722331,0.532,0.02
femur,female,sd,0.8723249,0.532,0.01
femur,female,sd,0.8813498,0.511,0.01
femur,female,sd,0.903395,0.489,0.01
femur,female,sd,0.9179512,0.468,0.01
femur,female,sd,0.9206761,0.447,0.01
femur,female,sd,0.9220548,0.426,0.01
femur,female,sd,0.9254247,0.404,0.01
femur,female,sd,0.9296258,0.383,0.01
femur,female,sd,0.9314583,0.362,0.01
femur,female,sd,0.9340455,0.34,0.01
femur,female,sd,0.9380865,0.319,0.01
femur,female,sd,0.9412735,0.298,0.01
femur,female,sd,0.9423363,0.298,0
femur,female,sd,0.942549,0.277,0
femur,female,sd,0.9432994,0.255,0
femur,female,sd,0.9440819,0.234,0
femur,female,sd,0.9459406,0.213,0
femur,female,sd,0.9514748,0.191,0
femur,female,sd,0.9571668,0.17,0
femur,female,sd,0.9595672,0.149,0
femur,female,sd,0.960818,0.128,0
femur,female,sd,0.9634734,0.106,0
femur,female,sd,0.9685892,0.085,0
femur,female,sd,0.9723018,0.064,0
femur,female,sd,0.9756031,0.043,0
femur,female,sd,0.9809677,0.021,0
femur,female,sd,1,0,0
